Keff(MJ/m3):-0.015155921345851383 Ms(MA/m):1.197796277997365
H(kOe) moment(emu) M(MA/m) M_norm()
9.966959999999998 2.351854e-05 1.310019652964554 0.994975242901723
9.938737 2.364664e-05 1.3171550243585588 1.000394640900736
9.910303 2.368498e-05 1.3192906226352656 1.0020166527608623
9.881617 2.370074e-05 1.3201684794125454 1.0026833952469236
9.852746999999999 2.359304e-05 1.3141694200906535 0.9981270395522027
9.823718000000001 2.353237e-05 1.31079000570756 0.9955603348168388
9.794683000000001 2.38938e-05 1.3309222249342205 1.010850990701174
9.765585999999999 2.338179e-05 1.3024024629713442 0.9891898980432916
9.736265999999999 2.358407e-05 1.3136697769883567 0.997747554774286
9.706794 2.367485e-05 1.3187263657092605 1.0015880930283876
9.676534 2.352452e-05 1.310352748366085 0.9952282327536673
9.647189000000001 2.407718e-05 1.3411367792373634 1.0186090641208385
9.617450000000002 2.358111e-05 1.3135049003347559 0.9976223290281729
9.587636 2.359358e-05 1.3141994989396213 0.9981498847896694
9.557887000000001 2.349468e-05 1.3086906134527587 0.9939658218536631
9.528154 2.381127e-05 1.3263251741836566 1.0073594769083671
9.498368000000001 2.364543e-05 1.3170876254562423 1.0003434506464128
9.468664 2.402661e-05 1.33831995073311 1.0164696499380899
9.438493000000001 2.383122e-05 1.3274364205482965 1.0082034815147707
9.40868 2.371949e-05 1.3212128838905908 1.0034766326589573
9.378617 2.353163e-05 1.3107487865441598 0.9955290283803105
9.348558 2.358636e-05 1.3137973335886086 0.9978444355035423
9.31883 2.372629e-05 1.3215916545812947 1.0037643134270544
9.288905000000002 2.377755e-05 1.3244469171703401 1.005932918746566
9.258674000000001 2.329587e-05 1.2976165838911498 0.9855549669263891
9.228793 2.431841e-05 1.3545736694901018 1.0288145393690973
9.198747 2.379757e-05 1.3255620626450313 1.006779884772641
9.169025 2.375134e-05 1.3229869789639632 1.0048240786095313
9.138821 2.35625e-05 1.3124682940768138 0.9968350144554827
9.10883 2.359098e-05 1.314054674851999 0.9980398892018674
9.078802 2.330698e-05 1.2982354283578743 0.9860249865342661
9.048924000000001 2.383112e-05 1.3274308503910806 1.00819925091524
9.018683000000001 2.363711e-05 1.316624188375851 0.9999914647654464
8.988813 2.376847e-05 1.3239411468951054 1.0055487803091652
8.958954 2.369091e-05 1.319620932958189 1.0022675273130415
8.92909 2.359585e-05 1.3143259415084299 0.9982459193990195
8.898646000000001 2.364881e-05 1.3172758967701514 1.0004864449105555
8.868718999999999 2.370664e-05 1.3204971186883034 1.0029330006192434
8.838802 2.346072e-05 1.3067989880621234 0.992529110252988
8.808933000000001 2.363397e-05 1.316449285439261 0.999858623940178
8.778673000000001 2.371096e-05 1.3207377494800452 1.003115762518976
8.748755 2.394062e-05 1.3335301725428643 1.0128317574015158
8.719071 2.384603e-05 1.3282613608320222 1.008830033305289
8.689293 2.368921e-05 1.3195262402855128 1.0021956071210172
8.658987999999999 2.336355e-05 1.3013864662951018 0.9884182366888654
8.629033999999999 2.343696e-05 1.3054755187075444 0.9915239198044591
8.598916 2.384008e-05 1.3279299364776558 1.0085783126332037
8.568987 2.385384e-05 1.3286963901106108 1.0091604431286483
8.539010000000001 2.386778e-05 1.3294728700265546 1.009750188703248
8.509075999999999 2.349337e-05 1.308617644393226 0.9939104009998091
8.479164 2.375581e-05 1.3232359649915295 1.0050131864085603
8.449236 2.354584e-05 1.3115403058845878 0.9961301965736438
8.41873 2.367129e-05 1.3185280681123621 1.0014374836850894
8.388755999999999 2.34726e-05 1.3074607227394128 0.9930317054772525
8.358692 2.379576e-05 1.3254612427994177 1.006703310921133
8.328812 2.394783e-05 1.3339317808781557 1.0131367836276899
8.298906 2.38484e-05 1.328393373558047 1.0089302985141702
8.268914 2.377188e-05 1.3241310892561793 1.005693043753167
8.238599 2.360471e-05 1.314819457437789 0.9986207505174526
8.208708 2.370151e-05 1.3202113696231104 1.002715970863311
8.178774 2.353233e-05 1.3107877776446737 0.9955586425770265
8.148923 2.371603e-05 1.3210201564509085 1.0033302539151898
8.118414 2.401182e-05 1.337496124480828 1.0158439442674778
8.088274 2.392515e-05 1.332668469221512 1.012177283654094
8.058482 2.369207e-05 1.3196855467818973 1.0023166022675993
8.028691 2.3865e-05 1.329318019655943 1.0096325780362905
7.998595 2.391397e-05 1.3320457256447362 1.0117043026265455
7.968821 2.375269e-05 1.3230621760863828 1.004881191703198
7.938655 2.36577e-05 1.317771083746675 1.0008625452088475
7.908802 2.354031e-05 1.3112322761905297 0.995896244419588
7.878673 2.32757e-05 1.296493083180634 0.9847016550010176
7.848312 2.352161e-05 1.3101906567910926 0.9951051223073198
7.818246 2.386241e-05 1.3291737525840426 1.0095230055084417
7.788405 2.375357e-05 1.3231111934698854 1.0049184209790691
7.758642 2.354569e-05 1.3115319506487635 0.9961238506743475
7.728339 2.381412e-05 1.3264839236643196 1.0074800489949962
7.698406 2.390333e-05 1.3314530609169284 1.0112541668364636
7.66834 2.37685e-05 1.3239428179422705 1.0055500494890246
7.638099 2.360277e-05 1.3147113963877939 0.9985386768865541
7.608015999999999 2.369666e-05 1.3199412169981228 1.0025107867860652
7.578062 2.337802e-05 1.302192468044292 0.9890304044409788
7.54835 2.356438e-05 1.3125730130324789 0.9969145497266625
7.518433 2.372087e-05 1.3212897520601745 1.0035350149324826
7.488217 2.350161e-05 1.3090766253478443 0.9942590024011507
7.458368 2.356378e-05 1.3125395920891816 0.9968891661294775
7.428801 2.354348e-05 1.3114088501742844 0.9960303544247158
7.398161 2.374481e-05 1.3226232476977429 1.0045478204601672
7.368378 2.378021e-05 1.3245950833522921 1.0060454526940865
7.338425 2.394611e-05 1.3338359741740362 1.0130640173157592
7.308516 2.38255e-05 1.3271178075555277 1.0079614912216064
7.278377000000001 2.402195e-05 1.3380603814068335 1.0162725039999525
7.24834 2.356825e-05 1.3127885781167472 0.9970782739285061
7.21834 2.31937e-05 1.2919255542633163 0.9812325633857243
7.1882839999999995 2.379707e-05 1.3255342118589504 1.006758731774987
7.157942 2.371151e-05 1.3207683853447343 1.0031390308163954
7.127951 2.373901e-05 1.3223001785792008 1.0043024456873781
7.098151 2.344932e-05 1.306163990139472 0.9920468219064716
7.068293 2.361877e-05 1.3156026215423924 0.9992155728114894
7.038161 2.366804e-05 1.3183470380028346 1.0012999892003371
7.008312 2.373076e-05 1.3218406406088608 1.0039534212260832
6.977876 2.340697e-05 1.3038050285583938 0.9902551630051585
6.948029 2.378881e-05 1.3250741168728888 1.006409284253739
6.918321 2.366603e-05 1.3182350778427876 1.0012149541497668
6.8879790000000005 2.371793e-05 1.3211259894380172 1.003410635306276
6.857979 2.364272e-05 1.3169366741956823 1.000228801399127
6.82796 2.365107e-05 1.3174017823232385 1.0005820564599526
6.798016 2.361082e-05 1.3151597940437012 0.9988792401487872
6.767951 2.371154e-05 1.3207700563918994 1.0031402999962549
6.7382550000000005 2.395221e-05 1.334175753764227 1.0133220838871408
6.70809 2.38072e-05 1.3260984687849553 1.0071872915074616
6.677896 2.355375e-05 1.3119809053203926 0.9964648369965338
6.647988000000001 2.379449e-05 1.3253905018027712 1.0066495823070911
6.6181909999999995 2.353624e-05 1.3110055707918287 0.9957240590186826
6.588113999999999 2.382092e-05 1.3268626943550237 1.0077677297630936
6.558033999999999 2.384345e-05 1.3281176507758428 1.0087208838373931
6.527858 2.356324e-05 1.3125095132402138 0.996866320892011
6.497904999999999 2.368397e-05 1.3192343640473816 1.0019739237056007
6.467636000000001 2.362394e-05 1.315890598670472 0.9994342948072341
6.437701 2.365606e-05 1.3176797331683288 1.0007931633765417
6.407633 2.349574e-05 1.308749657119251 0.99401066620869
6.3775889999999995 2.366158e-05 1.3179872058466653 1.0010266924706444
