Filename (OP_IP)	Ms (MA/m)	Keff (MJ/m^3)
FP3138A OP 4.21x4.1x0.8_FP3138A IP 4.21x4.1x0.8	0.9244804327675105	0.08363124053234668
FP3138B OP 4.84x4.0x0.9_FP3138B IP 4.84x4.0x0.9	0.8993901045579765	0.07060027205159729
FP3138C OP 3.82x4.0x1.0_FP3138C IP 3.82x4.0x1.0	0.9460968404595694	0.03795356240353305
FP3138D OP 4.1x4.0x1.1_FP3138D IP 4.1x4.0x1.1	0.8523181949656035	-0.00010256567564145662
FP3138E OP 4.0x4.9x1.2_FP3138E IP 4.0x4.9x1.2	1.1116788477891155	-0.04645417352118315
FP3138F OP 4.0x4.0x1.3_FP3138F IP 4.0x4.0x1.3	1.3327649201388885	-0.12547407680662553
FP3138G OP 4.1x4.72x1.4_FP3138G IP 4.1x4.72x1.4	1.0900567716945708	-0.16352292867348678
FP3138H OP 3.64x4.12x1.5_FP3138H IP 3.64x4.12x1.5	1.069274438677637	-0.17867531493625072
FP3138I OP 3.24x3.34x1.6_FP3138I IP 3.24x3.34x1.6	0.9872380325083716	-0.17058493704180316
