Filename (OP_IP)	Ms (MA/m)	Keff (MJ/m^3)
FP3317A_OP_4.32x4.02x0.7_10kOe_AD_FP3317A_IP_4.32x4.02x0.7_10kOe_AD	1.2016358749803795	0.19073802070361123
FP3317B_OP_3.84x4.06x0.8_10kOe_AD_FP3317B_IP_3.84x4.06x0.8_10kOe_AD	1.1395604773877945	0.15711297987137018
FP3317C_OP_4.0x4.54x0.9_10kOe_AD_FP3317C_IP_4.0x4.54x0.9_10kOe_AD	1.1263321026898943	0.1114866277391267
FP3317D_OP_3.50x3.30x1.0_10kOe_AD_FP3317D_IP_3.50x3.30x1.0_10kOe_AD	1.1601878968253971	0.05359813759425068
FP3317E_OP_3.60x4.0x1.1_10kOe_AD_FP3317E_IP_3.60x4.0x1.1_10kOe_AD	1.226075623219373	-0.005638181983327493
FP3317F_OP_3.94x3.80x1.2_10kOe_AD_FP3317F_IP_3.94x3.80x1.2_10kOe_AD	1.1727333403305216	-0.06621626022337293
FP3317G_OP_3.90x3.78x1.3_10kOe_AD_FP3317G_IP_3.90x3.78x1.3_10kOe_AD	1.181112083389861	-0.12045529612841066
FP3317H_OP_4.0x3.90x1.4_10kOe_AD_FP3317H_IP_4.0x3.90x1.4_10kOe_AD	1.113704797676282	-0.176504613761432
