Keff: 0.06198189925438026	Ms:1.373477753671621
H(kOe) moment(emu) M(MA/m) M_norm()
9.94787 7.725333e-05 1.117059386848458 0.9945382730831918
9.899806 7.946855e-05 1.1490907865943907 1.0230564104023125
9.851492 7.789925e-05 1.1263991913481883 1.0028536707670184
9.803237 7.771738e-05 1.123769407095702 1.0005123260544262
9.754897000000001 7.9711e-05 1.1525965390110358 1.026177645490936
9.705731 7.845002e-05 1.1343631561183094 1.0099441333356356
9.656585999999999 7.765184e-05 1.1228217188573562 0.9996685819929355
9.607745999999999 7.75209e-05 1.120928366737597 0.9979828961917213
9.558501 7.728058e-05 1.1174534134657137 0.99488908214141
9.509067 7.803846e-05 1.1284121251238999 1.0046458222897543
9.459259 7.636649e-05 1.1042359532614179 0.9831213371129093
9.409623999999999 7.653111e-05 1.1066163078204123 0.9852406100363542
9.359973 7.760397e-05 1.1221295333833003 0.9990523166858931
9.310491 7.851105e-05 1.1352456311440378 1.010729816888775
9.261058 8.007372e-05 1.1578413586297847 1.0308472037146752
9.210805 7.755357e-05 1.1214007648875326 0.9984034808497759
9.161095999999999 7.825586e-05 1.1315556622465175 1.007444570519355
9.111343000000002 7.763356e-05 1.1225573956807167 0.9994332502650741
9.061181000000001 7.612141e-05 1.1006921718538227 0.9799662441225201
9.010897000000002 7.827575e-05 1.1318432655278832 1.0077006289475372
8.960917 7.946845e-05 1.1490893406251528 1.0230551230296216
8.911237 7.881357e-05 1.1396199772817304 1.0146243767527074
8.861269 7.842192e-05 1.133956838762534 1.0095823816095464
8.811039000000001 7.899017e-05 1.1421735589553934 1.0168978769244994
8.761209000000001 7.620349e-05 1.1018790234040734 0.9810229196270539
8.711269 7.870214e-05 1.1380087337602338 1.0131898573634506
8.661397000000001 7.782673e-05 1.1253505744570556 1.0019200680917162
8.611833 7.809229e-05 1.1291904903645185 1.0053388150091627
8.561633 7.80635e-05 1.1287741958210034 1.0049681804115076
8.51149 7.960623e-05 1.151081597040766 1.0248288651228803
8.461558 7.642323e-05 1.105056396206852 0.9838517923776176
8.411416 7.996235e-05 1.156230982689831 1.0294134567490327
8.361595999999999 7.876051e-05 1.1388527460042415 1.0139412968030175
8.311916 7.831089e-05 1.132351379117988 1.0081530117110522
8.261342 7.778824e-05 1.1247940208974898 1.0014245583430623
8.211077 7.769174e-05 1.1233986605831725 1.0001822436965284
8.161529999999999 7.985096e-05 1.1546203175560295 1.0279794523088521
8.111305 7.825446e-05 1.1315354186771907 1.0074265473016852
8.061105 7.78179e-05 1.1252228953733725 1.0018063930831267
8.011492 7.775142e-05 1.1242616150241929 1.0009505477183434
7.961492 7.752088e-05 1.1209280775437498 0.9979826387171833
7.9113050000000005 7.746607e-05 1.1201355418046022 0.9972770297454057
7.861067 7.70433e-05 1.1140224176586535 0.9918344042208957
7.811397 7.744889e-05 1.1198871242895765 0.9970558591171419
7.761259 7.778819e-05 1.1247932979128712 1.001423914656717
7.711359000000001 7.847477e-05 1.1347210335046238 1.010262758076586
7.661027 7.881453e-05 1.1396338585864119 1.0146367355305386
7.610841000000001 7.963702e-05 1.1515268109690335 1.0252252471743495
7.5608699999999995 7.931457e-05 1.1468642831622806 1.021074113933159
7.510925 7.854609e-05 1.135752298764905 1.0111809122795994
7.460963 7.935757e-05 1.1474860499344635 1.0216276841901637
7.41099 7.813119e-05 1.1297529723979585 1.0058396029858485
7.3609729999999995 7.936521e-05 1.1475965219842186 1.0217260394637337
7.3110100000000005 7.910612e-05 1.143850160286431 1.0183905855593764
7.261212 7.704991e-05 1.1141179962252612 0.9919194995557516
7.210897 7.647894e-05 1.1058619456691383 0.9845689877036115
7.161247 7.802792e-05 1.128259719966253 1.0045101332081534
7.1109539999999996 7.860881e-05 1.1366592106707496 1.011988352431212
7.060681 7.893563e-05 1.1413849273331875 1.0161957438589868
7.010756000000001 7.737726e-05 1.1188513765246588 0.9961337140587873
6.961113999999999 8.109176e-05 1.1725619038566015 1.0439531726551676
6.911167000000001 7.774524e-05 1.124172254125307 1.0008709880860576
6.860792999999999 7.719136e-05 1.1161633197118956 0.9937404882267594
6.810666 7.818932e-05 1.1305935143157955 1.0065879527309576
6.760661 7.890924e-05 1.1410033360513756 1.0158560062059088
6.710471999999999 7.821922e-05 1.1310258591178484 1.0069728771654796
6.66018 7.930917e-05 1.1467862008234482 1.0210045958078606
6.61085 7.864605e-05 1.1371976896148446 1.012467770021232
6.560718 7.330001e-05 1.0598955957831957 0.9436443110268603
6.510602 7.851878e-05 1.1353574045661068 1.0108293307977667
6.460567 7.703449e-05 1.113895027768818 0.9917209866868444
6.41068 7.680151e-05 1.1105262086389767 0.9887216657920309
6.360462999999999 7.738145e-05 1.1189119626357156 0.9961876549745279
6.3104629999999995 7.809896e-05 1.1292869365126688 1.005424682767633
6.260416 8.067984e-05 1.1666056673729364 1.0386502270675997
6.210841 7.685373e-05 1.1112812937748695 0.9893939318111191
6.160759 7.805362e-05 1.128631334060325 1.0048409879896654
6.110473 8.049066e-05 1.163870182769179 1.0362147754113167
6.0601899999999995 7.879205e-05 1.1393088047017914 1.014347334149667
6.010869 7.857093e-05 1.1361114775235335 1.0115006956559716
5.960718 7.899693e-05 1.1422713064758574 1.0169849033183913
5.910259 7.670301e-05 1.1091019289399064 0.9874536036916827
5.859897 7.752982e-05 1.1210573471935943 0.9980977298357326
5.810444 7.783954e-05 1.1255358031163967 1.002084980533396
5.760509 7.600155e-05 1.0989590331255938 0.9784231992154364
5.710548 7.767523e-05 1.1231599310620388 0.9999696984652923
5.6606570000000005 7.76748e-05 1.1231537133943172 0.9999641627627224
5.609935 7.905954e-05 1.1431766278155409 1.0177909273600443
5.560303 7.785841e-05 1.1258086575115382 1.0023279077601328
5.510342 7.869642e-05 1.1379260243198412 1.013116219645542
5.460331 7.843863e-05 1.1341984602221427 1.0097975015861638
5.410296000000001 7.695784e-05 1.112786692348171 0.9907342155194162
5.360256000000001 7.767855e-05 1.1232079372407284 1.0000124392386238
5.310027 7.682471e-05 1.110861673502108 0.9890203362562754
5.260029 7.73329e-05 1.1182099445708442 0.9955626355331889
