Keff: -0.13720217033596643	Ms:1.251644564732143
H(kOe) moment(emu) M(MA/m) M_norm()
9.972121 8.41911e-05 1.2534819278093554 1.0009580877044866
9.94891 8.436342e-05 1.2560475197282173 1.003006820856485
9.925271 8.417637e-05 1.2532626197257617 1.0007829609674337
9.901725 8.418949e-05 1.2534579572720446 1.0009389462213463
9.878002 8.462078e-05 1.2598792324501202 1.0060666047701248
9.853817 8.300841e-05 1.2358734093174855 0.9868969444156207
9.829521000000002 8.429675e-05 1.2550549012670373 1.0022141732285619
9.805622 8.322932e-05 1.239162435030089 0.9895233699066144
9.781243 8.450549e-05 1.2581627335392245 1.0046959081296076
9.756622 8.531444e-05 1.2702068118978793 1.0143136117235567
9.732206 8.546655e-05 1.272471506575097 1.0161220657611063
9.707362999999999 8.433619e-05 1.2556421049884854 1.0026830801198967
9.682512000000001 8.288722e-05 1.2340690680648922 0.9854561019673228
9.657762 8.396738e-05 1.250151065320452 0.9982982537863972
9.632862999999999 8.395584e-05 1.2499792516555048 0.9981610533420258
9.608132 8.37351e-05 1.2466927569934252 0.995536649001426
9.583456 8.312151e-05 1.2375573023422262 0.9882416038834194
9.55866 8.389248e-05 1.2490359142368703 0.9974077587011795
9.533612999999999 8.364382e-05 1.2453337317476396 0.9944514101312166
9.508706 8.364119e-05 1.245294574907188 0.9944201417457142
9.483675999999999 8.2096e-05 1.2222889633873035 0.9760491924703147
9.458706 8.644436e-05 1.2870296625301954 1.027747366151983
9.433845 8.292017e-05 1.234559645210473 0.9858478484700987
9.408679 8.535918e-05 1.2708729248415305 1.014845530950695
9.383826 8.345274e-05 1.2424888309592448 0.9921796370887148
9.358743 8.561516e-05 1.2746840913885957 1.0178889078787858
9.333872999999999 8.379376e-05 1.2475661183093514 0.9962340647784468
9.308752 8.444226e-05 1.2572213316298135 1.0039441590743563
9.283965 8.49394e-05 1.2646230166724266 1.0098547161726887
9.259103999999999 8.361072e-05 1.244840921322185 0.9940578802604463
9.234084999999999 8.510552e-05 1.2670962996898443 1.011829736780918
9.208882 8.389797e-05 1.2491176522802463 0.9974730299697755
9.183909 8.414369e-05 1.2527760624839535 1.0003944245270477
9.158928 8.484816e-05 1.2632645869679409 1.008769952867278
9.134075999999999 8.518271e-05 1.2682455455128303 1.0127474579508504
9.108947 8.446177e-05 1.2575118068987146 1.0041761158048317
9.083891 8.295463e-05 1.2350727040401155 0.9862575475440186
9.058771 8.419215e-05 1.2534975607684709 1.0009705712804475
9.033419 8.410317e-05 1.2521727791474149 0.9999126773861529
9.00865 8.434353e-05 1.2557513868169699 1.002770346260424
8.98379 8.340103e-05 1.2417189449441315 0.9915648506954358
8.958642 8.642625e-05 1.286760031206782 1.0275320541894557
8.933725 8.324588e-05 1.2394089891281412 0.9897202537331993
8.908935999999999 8.326755e-05 1.239731623627223 0.9899778909627943
8.883873 8.431195e-05 1.2552812069609018 1.0023948878519973
8.859067 8.386003e-05 1.2485527813575348 0.9970219567583849
8.833722 8.386373e-05 1.248607868927752 0.9970659465022476
8.808872 8.498805e-05 1.2653473437781173 1.0104331218588813
8.783799 8.364808e-05 1.2453971568960518 0.9945020577822585
8.758892 8.394872e-05 1.2498732453041683 0.9980764028078903
8.733593999999998 8.43516e-05 1.2558715372741727 1.0028662914585242
8.708808999999999 8.293863e-05 1.2348344875202584 0.986067321624613
8.683864 8.563874e-05 1.2750351629847354 1.01816925332751
8.658965 8.394701e-05 1.2498477859136086 0.9980560724127538
8.634103999999999 8.311692e-05 1.2374889639780922 0.98818703282279
8.608957 8.449627e-05 1.2580254612696566 1.00458629044355
8.583716 8.369417e-05 1.2460833693585651 0.9950500273213463
8.558706 8.434418e-05 1.2557610643630892 1.0027780741884
8.53378 8.363553e-05 1.2452103058132886 0.9943528493267247
8.509142 8.359929e-05 1.244670745395812 0.9939219876192709
8.484122 8.614598e-05 1.2825872222055081 1.024199890537467
8.458993 8.506088e-05 1.2664316755994425 1.011299006465776
8.433706 8.450093e-05 1.2580948418310651 1.004641693742577
8.408641 8.439319e-05 1.2564907513404764 1.0033607599577792
8.383669 8.298774e-05 1.235565663350895 0.9866511963059885
8.358706 8.290705e-05 1.2343643076641904 0.9856918632161862
8.333725000000001 8.57265e-05 1.2763417805961519 1.0192126424954497
8.308881999999999 8.445236e-05 1.2573717058079734 1.004064239185981
8.283641 8.643243e-05 1.2868520423375769 1.0276055289508261
8.259012 8.417529e-05 1.2532465401106714 1.0007701207178739
8.233854 8.420519e-05 1.2536917072321545 1.001125605404763
8.208739 8.581139e-05 1.277605668119319 1.0202219098890961
8.183539 8.253616e-05 1.228842299848575 0.9812823075131637
8.158595 8.357851e-05 1.2443613616906475 0.9936749317064428
8.133521 8.314294e-05 1.2378763635935097 0.9884963877242232
8.108428 8.423285e-05 1.2541035240408576 1.0014544584629355
8.083390999999999 8.364829e-05 1.2454002834878748 0.9945045544974507
8.058669 8.288828e-05 1.2340848499093329 0.9854687044344834
8.03377 8.48557e-05 1.2633768465029236 1.008859596831798
8.008529000000001 8.59779e-05 1.280084757664408 1.0222015672541107
7.983622 8.290975e-05 1.234404506701916 0.9857239638400858
7.958344 8.423023e-05 1.2540645160857309 1.0014233089686329
7.933298 8.437448e-05 1.2562121868975684 1.0031383145232742
7.908317 8.409071e-05 1.251987268032576 0.9997645389514157
7.883326 8.453114e-05 1.2585446243976204 1.0050008640566548
7.858335 8.406294e-05 1.251573813485299 0.9994343780900472
7.833493000000001 8.348851e-05 1.243021393766451 0.9926049109097862
7.808131 8.554373e-05 1.2736206035127582 1.0170396680398393
7.783196 8.446666e-05 1.2575846118225957 1.00423425360145
7.758613 8.554626e-05 1.2736582714999605 1.0170697475133452
7.733576 8.49066e-05 1.2641346728067195 1.0094647530379073
7.708706 8.369201e-05 1.2460512101283845 0.9950243468222265
7.68333 8.458398e-05 1.2593313344544488 1.0056290851554919
7.65803 8.477618e-05 1.2621929103992335 1.007914174012352
7.633256 8.459458e-05 1.259489152898854 1.005755109827098
7.6084 8.465158e-05 1.2603377992508455 1.0064327896649807
7.583391 8.192319e-05 1.219716076087521 0.9739946336495342
7.558288999999999 8.596299e-05 1.2798627696449663 1.0220243004754646
7.533317 8.419811e-05 1.2535862964221176 1.001041430435426
7.508159 8.246057e-05 1.2277168756775751 0.980383608935172
7.483252 8.515693e-05 1.2678617191452106 1.0124409564382082
7.458557 8.333068e-05 1.2406715366833843 0.9907284511060491
7.4334560000000005 8.298684e-05 1.2355522636716532 0.9866404960980222
7.408658999999999 8.386456e-05 1.2486202264097195 0.9970758144718166
7.383502 8.496102e-05 1.2649449067448837 1.0101117589462856
7.358224 8.278747e-05 1.2325839369489076 0.9842701622510283
7.333178 8.25852e-05 1.2295724334819376 0.981865349956142
7.308076 8.355249e-05 1.2439739620752297 0.9933655768050094
7.283326 8.354583e-05 1.243874804448839 0.9932863952660568
7.258566 8.343632e-05 1.2422443612557414 0.9919844177389249
7.23353 8.418685e-05 1.2534186515462682 1.0009075589446443
7.208233 8.297804e-05 1.2354212445857315 0.9865358718423489
7.183198999999999 8.492523e-05 1.264412046167028 1.009686247342815
7.158297999999999 8.387957e-05 1.2488437032824107 0.9972542701624592
7.13315 8.431005e-05 1.2552529187491686 1.0023722985240677
7.108076 8.421796e-05 1.2538818337920654 1.0012774294666886
7.083196 8.381929e-05 1.2479462225438485 0.9965375940110983
7.058187 8.284223e-05 1.2333992329881187 0.984921210460194
7.0329939999999995 8.431751e-05 1.255363987201552 1.0024609913589906
7.007946 8.31427e-05 1.237872790345712 0.9884935343354322
6.983048 8.604103e-05 1.28102467072057 1.0229521273973656
6.958111 8.375862e-05 1.247042935277615 0.9958162811029521
6.933141 8.405076e-05 1.2513924711595579 0.9992895686088998
6.908187 8.535243e-05 1.2707724272472152 1.0147652793909454
6.882826 8.404044e-05 1.2512388215042498 0.9991668728908831
6.858114 8.583696e-05 1.2779863678951162 1.0205259146865464
6.833048 8.420794e-05 1.253732650696505 1.001158300484661
6.807956 8.397257e-05 1.2502283368040807 0.9983599583190045
6.7830010000000005 8.44986e-05 1.258060151550361 1.0046139920930637
6.758075 8.300076e-05 1.2357595120439289 0.986805992647905
6.732807 8.511511e-05 1.2672390807164333 1.0119437534413613
6.708094 8.53095e-05 1.2701332625473738 1.0142548794709405
6.682684 8.392223e-05 1.24947884807848 0.9977614600200745
6.657826 8.530616e-05 1.2700835348488533 1.0142151698102644
6.632881 8.47433e-05 1.261703375450927 1.0075232597479735
6.607845 8.303463e-05 1.2362637866394015 0.9872086771410468
6.582594 8.55491e-05 1.2737005549322353 1.0171035126140398
6.557483 8.504665e-05 1.2662198117820946 1.0111298242887048
6.5325940000000005 8.442993e-05 1.2570377560241988 1.0037975662252145
6.507576 8.345441e-05 1.2425136948085052 0.9921994919190529
6.482662 8.35271e-05 1.2435959422352814 0.9930637120491526
6.458298 8.470809e-05 1.261179150221916 1.0071046438340814
6.433196 8.469795e-05 1.2610281805024568 1.0069840881576582
6.407909 8.678876e-05 1.2921572731201214 1.031841979067189
6.382751 8.626537e-05 1.2843647640996176 1.025619332569832
6.357863 8.639161e-05 1.2862442924412907 1.0271202150739422
6.332863000000001 8.419876e-05 1.253595973968237 1.001049158363402
6.307658999999999 8.456463e-05 1.2590432413507464 1.0053990306842107
6.282918 8.286636e-05 1.2337584932771284 0.9852080949248977
6.257918 8.376e-05 1.2470634814524528 0.9958326880885009
6.2329 8.35596e-05 1.2440798195412415 0.9934501084479455
6.207878 8.313448e-05 1.2377504066086353 0.9883958057693375
6.182937 8.415731e-05 1.2529788442964818 1.0005563543409417
6.157881000000001 8.257348e-05 1.2293979398811423 0.9817260094701775
6.132761 8.322804e-05 1.2391433777085004 0.989508151833062
6.107761 8.530432e-05 1.27005613994907 1.0141932938295328
6.082529999999999 8.382168e-05 1.2479818061365022 0.9965660090078097
6.057737 8.470243e-05 1.2610948811280167 1.0070373514150917
6.033085 8.560086e-05 1.2744711853739734 1.017718893463317
6.008001 8.450269e-05 1.2581210456482494 1.0046626185937118
5.982918 8.567147e-05 1.2755224646531682 1.018558384223894
5.9579390000000005 8.393238e-05 1.2496299666832642 0.9978821345876973
5.932437 8.42662e-05 1.254600056599435 1.0018509606136967
5.907585 8.576968e-05 1.2769846674291165 1.0197260146954457
5.882585 8.525109e-05 1.2692636233645698 1.01356043597391
5.857826 8.473194e-05 1.2615342417218283 1.0073881993451954
5.832884 8.565986e-05 1.2753496087909466 1.0184203515411252
5.807733 8.393294e-05 1.2496383042614592 0.9978887924948764
5.782667999999999 8.463722e-05 1.2601239999242735 1.006262061902314
5.757881 8.41091e-05 1.252261068145087 0.9999831798675325
5.732724 8.449313e-05 1.2579787112776346 1.0045489586068668
5.70777 8.530543e-05 1.270072666220135 1.0142064907526915
5.682677 8.48417e-05 1.263168407048049 1.0086931491523183
5.65782 8.337706e-05 1.2413620668203205 0.9912798684899262
5.632511 8.449357e-05 1.2579852622319307 1.0045541898196504
5.607428 8.55531e-05 1.2737601090621995 1.0171510690938912
5.582659 8.627479e-05 1.2845050140756835 1.0257313280798819
5.557466000000001 8.326264e-05 1.2396585209326916 0.9899195153837766
5.532547999999999 8.441123e-05 1.2567593404666157 1.0035752396819093
5.5077430000000005 8.490845e-05 1.264162216591828 1.0094867479098386
5.48252 8.547495e-05 1.272596570248022 1.0162219343687942
5.457566 8.449781e-05 1.2580483896096928 1.0046045996882929
5.432548 8.422154e-05 1.2539351347383836 1.0013199925161558
5.407369 8.43267e-05 1.255500812815145 1.0025702523714493
5.382584 8.611268e-05 1.2820914340735554 1.0238039828427041
5.357529 8.555504e-05 1.2737889928152324 1.0171741339866192
5.3324549999999995 8.531559e-05 1.2702239337102446 1.0143272842115143
5.307390000000001 8.435537e-05 1.2559276670416641 1.0029111134407842
5.282418 8.705258e-05 1.296085165761917 1.034978566695789
5.257696 8.598112e-05 1.2801326987390294 1.022239850220391
5.2324660000000005 8.449014e-05 1.257934194565486 1.0045134101381776
5.2071499999999995 8.512999e-05 1.2674606220799007 1.0121206635464088
5.182168 8.605892e-05 1.2812910265668354 1.0231648237535012
5.15715 8.474916e-05 1.2617906222513247 1.0075929299909558
5.132215 8.430696e-05 1.2552069131837713 1.0023355611433826
5.107158999999999 8.477431e-05 1.2621650688434751 1.0078919413580214
5.082085 8.558835e-05 1.27428492983251 1.0175701605725818
5.057409 8.470996e-05 1.2612069917776745 1.007126876488412
5.0321750000000005 8.436176e-05 1.256022804764282 1.0029870849173468
5.007161 8.537508e-05 1.2711096525081382 1.015034567958104
4.982613000000001 8.416063e-05 1.2530282742243521 1.0005958262192183
4.957344 8.528651e-05 1.2697909751854037 1.0139815486029944
4.9323630000000005 8.533461e-05 1.2705071135982242 1.0145534152732074
4.9074089999999995 8.45549e-05 1.2588983759296084 1.0052833495469722
4.882502000000001 8.395693e-05 1.2499954801559203 0.9981740124827855
4.857372000000001 8.355665e-05 1.2440358983703925 0.9934150355440549
4.832224 8.538053e-05 1.2711907950102146 1.0150993636619017
4.8071589999999995 8.391553e-05 1.2493790949107897 0.9976818029163232
4.782316 8.33701e-05 1.2412584426341826 0.9911971202149849
4.757521 8.500752e-05 1.2656372235057187 1.0106646030245583
4.732696 8.250444e-05 1.2283700355979583 0.9809051846279421
4.707412000000001 8.57572e-05 1.2767988585436278 1.0195776384783093
4.682196 8.380519e-05 1.2477362942357244 0.9963699574196222
4.657335 8.475387e-05 1.2618607472393575 1.0076489277459808
4.632390999999999 8.630917e-05 1.285016881822727 1.026140076024205
4.60733 8.392343e-05 1.2494967143174691 0.9977757269640298
4.582206 8.487202e-05 1.263619827353178 1.0090536272695918
4.556964 8.542946e-05 1.271919290905003 1.0156810983016842
4.5320860000000005 8.560063e-05 1.2744677610115003 1.0177161589657255
4.507326 8.453682e-05 1.2586291912621697 1.0050683942580436
4.482418 8.500893e-05 1.265658216336531 1.0106813666837058
4.457279000000001 8.343887e-05 1.2422823270135939 0.9920147349948302
4.432381 8.516814e-05 1.268028619594435 1.0125742334729915
4.407243 8.462547e-05 1.2599490596675036 1.0061223647427506
4.382029 8.589307e-05 1.2788217634531904 1.021193013207662
4.357224 8.422437e-05 1.2539772692853333 1.0013536387256505
4.331955 8.374255e-05 1.2468036765604833 0.995625222945149
4.306974 8.47097e-05 1.2612031207592267 1.0071237853172215
4.282326 8.454437e-05 1.2587415996824773 1.0051581571137633
4.257020000000001 8.343498e-05 1.2422244106222036 0.9919684863181748
4.232196 8.446584e-05 1.2575724032259532 1.0042245045230804
4.207094 8.360904e-05 1.2448159085876 0.9940379065389087
4.182029000000001 8.604187e-05 1.2810371770878626 1.0229621142581347
4.157057 8.321245e-05 1.2389112654869647 0.9893228004528413
4.1319930000000005 8.688789e-05 1.2936331733459618 1.0330205475291068
4.106872 8.534404e-05 1.2706475124596155 1.0146655296744573
4.0815850000000005 8.620701e-05 1.2834958693434384 1.0249254835287998
4.056464 8.437517e-05 1.2562224599849874 1.0031465180160486
4.0315010000000004 8.457599e-05 1.259212375079845 1.0055340910869885
4.006576 8.364184e-05 1.2453042524533071 0.9944278696736901
3.9817519999999997 8.461261e-05 1.2597575931396685 1.0059694706600284
3.9567609999999998 8.362169e-05 1.2450042485236121 0.9941883039064388
3.931918 8.330387e-05 1.2402723751272988 0.9904097037998452
3.906705 8.553782e-05 1.2735326122857358 1.0169694033408587
3.8817269999999997 8.325134e-05 1.2394902805155426 0.9897851683281965
3.856575 8.321338e-05 1.2389251118221813 0.9893338573344067
3.8312890000000004 8.411462e-05 1.2523432528444378 1.0000488078097276
3.806624 8.498743e-05 1.265338112887973 1.0104257506045045
3.7817979999999998 8.310389e-05 1.2372949663997335 0.9880321175896739
3.756733 8.355525e-05 1.2440150544249051 0.9933983907761069
3.731742 8.322465e-05 1.2390929055833557 0.9894678477163881
3.706918 8.553502e-05 1.273490924394761 1.0169361138049628
3.681696 8.359351e-05 1.2445846896780137 0.9938532685058857
3.6566959999999997 8.452075e-05 1.258389932545038 1.0048773361002405
3.631539 8.390588e-05 1.2492354205722507 0.9975670729086817
3.606761 8.222878e-05 1.2242658627314686 0.9776278298189823
3.581585 8.538183e-05 1.2712101501024533 1.0151148195178537
3.55652 8.461576e-05 1.259804492017015 1.0060069213879113
3.531409 8.420794e-05 1.253732650696505 1.001158300484661
3.506465 8.353846e-05 1.24376507596438 0.9931987724519306
3.4817739999999997 8.452976e-05 1.2585240782227827 1.004984457071106
3.457029 8.55154e-05 1.273198811387286 1.0167028492712917
3.431631 8.307302e-05 1.2368353574017341 0.9876651004564208
3.4065390000000004 8.614744e-05 1.2826089594629453 1.0242172486526129
3.38164 8.587296e-05 1.2785223550647948 1.0209539230052092
3.3566219999999998 8.528151e-05 1.2697165325229485 1.0139221030031802
3.331696 8.420988e-05 1.2537615344495374 1.0011813653773887
3.30652 8.361996e-05 1.2449784913624027 0.9941677357289032
3.281483 8.495967e-05 1.2649248072260209 1.0100957086343358
3.256576 8.387944e-05 1.248841767773187 0.997252724576864
3.231474 8.340603e-05 1.2417933876065868 0.9916242962952501
3.2064 8.572745e-05 1.2763559247020186 1.0192239371594145
3.181714 8.578018e-05 1.277140997020273 1.0198508504550556
3.156766 8.571377e-05 1.2761522495775406 1.0190612939983226
3.131372 8.409414e-05 1.2520383356990206 0.9998053186328882
3.1064000000000003 8.64256e-05 1.2867503536606626 1.0275243262614797
3.081464 8.245275e-05 1.2276004473534947 0.9802906360170623
3.056111 8.389958e-05 1.249141622817557 0.9974921714529158
3.03127 8.555921e-05 1.2738510779957202 1.0172237116168643
3.006261 8.485156e-05 1.2633152079784107 1.0088103758751519
2.981446 8.739052e-05 1.3011165964319509 1.0389963758960352
2.956104 8.521548e-05 1.2687334427225627 1.013137064412033
2.931122 8.447107e-05 1.2576502702508814 1.004286684620486
2.906567 8.312042e-05 1.237541073841811 0.9882286447426599
2.881511 8.550035e-05 1.2729747389732953 1.0165239180158507
2.856298 8.310405e-05 1.237297348564932 0.988034019848868
2.8313260000000002 8.178069e-05 1.2175944602075428 0.9723004340548279
2.806233 8.441781e-05 1.256857307010407 1.0036534700912647
2.781168 8.523307e-05 1.2689953320090808 1.0133461940321795
2.756344 8.389813e-05 1.2491200344454447 0.9974749322289695
2.731233 8.386672e-05 1.2486523856399 0.9971014949709364
2.706474 8.336905e-05 1.241242809675067 0.9911846366390239
2.681242 8.399679e-05 1.2505889370610144 0.9986479128045047
2.656307 8.386788e-05 1.2486696563375899 0.9971152863500933
2.631196 8.407556e-05 1.2517617067653362 0.9995844187839784
2.6058719999999997 8.438042e-05 1.2563006247805655 1.0032089358958536
2.5811129999999998 8.352176e-05 1.2435164374717789 0.9930002241485509
2.5560929999999997 8.491691e-05 1.2642881735767022 1.009587329864724
2.53102 8.461578e-05 1.259804789787665 1.0060071591703106
2.506085 8.442927e-05 1.2570279295927547 1.003789719406039
2.481261 8.230143e-05 1.2253475146169452 0.9784915743842836
2.4562109999999997 8.503847e-05 1.2660980235863177 1.0110325712874086
2.431251 8.398466e-05 1.2504083391618976 0.9985036977793552
2.406252 8.401883e-05 1.2509170803171177 0.9989099490084858
2.381455 8.159037e-05 1.2147608747038412 0.9700376967434977
2.35627 8.47692e-05 1.2620889884424458 1.0078311879550113
2.3311129999999998 8.325414e-05 1.2395319684065174 0.9898184578640924
2.306251 8.291659e-05 1.234506344264155 0.9858052854206317
2.281307 8.43223e-05 1.2554353032721846 1.0025179402436128
2.2561199999999997 8.447055e-05 1.257642528213986 1.0042805022781054
2.23114 8.450033e-05 1.2580859087115703 1.0046345602705993
2.206388 8.668503e-05 1.2906128856448222 1.0306087206534424
2.1812150000000003 8.458857e-05 1.2593996728185828 1.0056836562161213
2.156122 8.510318e-05 1.267061460523815 1.0118019162402048
2.1314 8.488949e-05 1.2638799300157972 1.0092613301953428
2.106205 8.343539e-05 1.2422305149205248 0.9919733608573594
2.081381 8.462981e-05 1.2600136758985148 1.0061739635233893
2.056085 8.268407e-05 1.2310444626893302 0.9830408272468693
2.031335 8.388245e-05 1.248886582255985 0.9972885108279522
2.0061679999999997 8.497514e-05 1.2651551328236579 1.0102796333201611
1.9812509999999999 8.406501e-05 1.2516046327475556 0.9994589885683706
1.956418 8.381486e-05 1.2478802663449131 0.9964849252096629
1.931168 8.524174e-05 1.2691244155857784 1.0134492727022575
1.9062329999999998 8.440361e-05 1.2566458898490338 1.0034846445877923
1.881237 8.465876e-05 1.2604446989141314 1.006518153546314
1.856177 8.350067e-05 1.2432024383215423 0.9927494826085345
1.8311220000000001 8.357527e-05 1.2443131228453765 0.9936364109577632
1.805984 8.413307e-05 1.252617946268898 1.000268162073042
1.780946 8.293267e-05 1.2347457518666116 0.9859964624696343
1.756029 8.350675e-05 1.2432929605990877 0.9928217684579084
