Keff: -0.1785797809215362	Ms:1.1777046284722221
H(kOe) moment(emu) M(MA/m) M_norm()
9.972151 8.147493e-05 1.2428893315072356 0.9608489451790332
9.948683 8.416213e-05 1.2838822137548942 0.9925395926639109
9.923473 8.500828e-05 1.2967901206147696 1.0025183963887285
9.90159 8.467678e-05 1.2917331317545808 0.9986089554683515
9.877748 8.524808e-05 1.3004482380466647 1.0053464022189138
9.853813 8.45473e-05 1.2897579313997776 0.9970819738382748
9.829655 8.472215e-05 1.2924252451319165 0.999144012284513
9.805215 8.641405e-05 1.3182349569043244 1.0190969024600358
9.780673 8.558462e-05 1.30558211144337 1.0093152807931027
9.756432 8.480828e-05 1.293739146943464 1.000159759332694
9.732173000000001 8.559141e-05 1.305685691999511 1.009395356521155
9.707450999999999 8.215546e-05 1.2532707270699024 0.9688745615577484
9.682544 8.440491e-05 1.2875857906944919 0.9954027421862311
9.657746999999999 8.380006e-05 1.2783588835690467 0.9882696340695192
9.632969999999998 8.4769e-05 1.29313993571442 0.9996965230148891
9.608117 8.518048e-05 1.2994170089457635 1.004549182893974
9.583459999999999 8.425348e-05 1.285275745979263 0.9936169001392547
9.558536 8.523545e-05 1.3002555690593216 1.0051974542888251
9.533608000000001 8.375557e-05 1.2776801944758647 0.9877449552564044
9.508507 8.357065e-05 1.274859264219376 0.9855641594343951
9.483597 8.503877e-05 1.2972552415509597 1.0028779706079207
9.458497 8.471772e-05 1.2923576660650973 0.9990917684737219
9.433536 8.445457e-05 1.288343347457077 0.9959883917672444
9.408544 8.49404e-05 1.2957546201507284 1.0017178749719104
9.383534 8.61123e-05 1.3136318003777423 1.015538308801744
9.358533999999999 8.475435e-05 1.2929164518929968 0.9995237528505345
9.333757 8.497799e-05 1.29632805065225 1.002161180806592
9.309044 8.583601e-05 1.3094170327995176 1.0122799696406852
9.28421 8.572714e-05 1.3077562352815424 1.0109960455592328
9.259053 8.451843e-05 1.2893175233503247 0.9967415045792363
9.233951 8.414682e-05 1.2836486617203557 0.9923590389972715
