MicroMag 2900/3900 Data File (Series 0016.002)
Direct moment vs. field; Multiple segments
4.18x4.08
INSTRUMENT
Configuration                   AGM
Temperature control             None
Hardware version                0004
Software version                10/21/2009
Units of measure                cgs
Temperature in                  Kelvin

SAMPLE
Mass                            N/A
Volume                          N/A
Demagnetizing factor            N/A

SETTINGS
Field range                    +10.00000E+03
Field (command)                 N/A
Moment range                   +200.0000E-06
Averaging time                  N/A
Temperature (command)           N/A
Tmprtr difference correction    No
Orientation                     N/A
Gradient                        1
Probe factor                   +379.8931E-03
Probe Q                        +25.73322E+00
Probe resonance                +291.0372E+00
Operating frequency            +353.7500E+00
Sweep mode                      Automatic

MEASUREMENT
Description                    ""
Field (measured)                N/A
Temperature (measured)          N/A
Averages (completed)            1
Measured on                     08/30/2024  14:37
Elapsed time                   +155.2366E+00

PROCESSING
Background subtraction          No
Delta-m processing              N/A
Demagnetizing factor            No
Normalization                   No
Normalization factor            N/A
Offset (field)                  No
Offset (moment)                 No
Pole saturation                 No
Slope correction               +5.484672E-09

VIEWPORT
Left                           -10.00000E+03
Right                          +10.00000E+03
Bottom                         -200.0000E-06
Top                            +200.0000E-06
Show X-axis?                    Yes
Show Y-axis?                    Yes

CHARACTERIZATION
Initial slope                   N/A
Saturation                     +76.28809E-06
Remanence                      +15.23827E-06
Coercivity                     +170.4162E+00
S*                             -183.1120E-03

SCRIPT
Number of segments              2
Number of data                  1520

Segment   Averaging      Initial        Field         Final                    Final 
 Number      Time         Field       Increment       Field         Pause      Index 
             (s)           (Oe)          (Oe)          (Oe)          (s)     
0000001,+100.0000E-03,+10.00000E+03,+25.00000E+00,-10.00000E+03,+1.000000E+00,0000801
0000002,+100.0000E-03,-10.00000E+03,+25.00000E+00,+7.951719E+03,+1.000000E+00,0001520

                               Adjusted      Adjusted  
    Field         Moment        Field         Moment   
     (Oe)         (emu)          (Oe)         (emu)    
+8.733513E+03,+28.31982E-06,+8.733513E+03,+76.22028E-06
+8.708300E+03,+26.81790E-06,+8.708300E+03,+74.58007E-06
+8.683420E+03,+29.10409E-06,+8.683420E+03,+76.72980E-06
+8.658764E+03,+27.87642E-06,+8.658764E+03,+75.36690E-06
+8.633295E+03,+28.83056E-06,+8.633295E+03,+76.18135E-06
+8.608022E+03,+28.89602E-06,+8.608022E+03,+76.10820E-06
+8.583438E+03,+29.75669E-06,+8.583438E+03,+76.83404E-06
+8.558680E+03,+29.62061E-06,+8.558680E+03,+76.56216E-06
+8.533522E+03,+29.46524E-06,+8.533522E+03,+76.26881E-06
+8.508513E+03,+28.62983E-06,+8.508513E+03,+75.29623E-06
+8.483364E+03,+31.10812E-06,+8.483364E+03,+77.63659E-06
+8.458477E+03,+30.86035E-06,+8.458477E+03,+77.25232E-06
+8.433259E+03,+29.29116E-06,+8.433259E+03,+75.54481E-06
+8.408395E+03,+29.92525E-06,+8.408395E+03,+76.04254E-06
+8.383143E+03,+29.64735E-06,+8.383143E+03,+75.62614E-06
+8.358217E+03,+29.86095E-06,+8.358217E+03,+75.70303E-06
+8.333115E+03,+30.19606E-06,+8.333115E+03,+75.90047E-06
+8.308365E+03,+31.42927E-06,+8.308365E+03,+76.99792E-06
+8.283143E+03,+29.69518E-06,+8.283143E+03,+75.12550E-06
+8.258068E+03,+31.12357E-06,+8.258068E+03,+76.41636E-06
+8.233281E+03,+31.59682E-06,+8.233281E+03,+76.75367E-06
+8.208306E+03,+31.56951E-06,+8.208306E+03,+76.58937E-06
+8.183285E+03,+31.46068E-06,+8.183285E+03,+76.34331E-06
+8.158189E+03,+32.45897E-06,+8.158189E+03,+77.20396E-06
+8.133003E+03,+31.84875E-06,+8.133003E+03,+76.45560E-06
+8.108051E+03,+31.77655E-06,+8.108051E+03,+76.24655E-06
+8.083207E+03,+32.02522E-06,+8.083207E+03,+76.35896E-06
+8.058253E+03,+32.62534E-06,+8.058253E+03,+76.82221E-06
+8.033336E+03,+33.19544E-06,+8.033336E+03,+77.25565E-06
+8.008230E+03,+32.62566E-06,+8.008230E+03,+76.54817E-06
+7.983051E+03,+33.43227E-06,+7.983051E+03,+77.21668E-06
+7.958040E+03,+31.49819E-06,+7.958040E+03,+75.14543E-06
+7.932919E+03,+32.05563E-06,+7.932919E+03,+75.56509E-06
+7.908216E+03,+32.14732E-06,+7.908216E+03,+75.52130E-06
+7.883143E+03,+33.27566E-06,+7.883143E+03,+76.51211E-06
+7.858124E+03,+33.11642E-06,+7.858124E+03,+76.21564E-06
+7.833192E+03,+34.20595E-06,+7.833192E+03,+77.16844E-06
+7.807929E+03,+33.24833E-06,+7.807929E+03,+76.07225E-06
+7.782920E+03,+32.98956E-06,+7.782920E+03,+75.67632E-06
+7.757911E+03,+34.07482E-06,+7.757911E+03,+76.62441E-06
+7.733041E+03,+34.39725E-06,+7.733041E+03,+76.81044E-06
+7.708124E+03,+34.31546E-06,+7.708124E+03,+76.59198E-06
+7.682985E+03,+34.08521E-06,+7.682985E+03,+76.22386E-06
+7.657781E+03,+35.06530E-06,+7.657781E+03,+77.06571E-06
+7.632809E+03,+34.39537E-06,+7.632809E+03,+76.25882E-06
+7.607711E+03,+35.39128E-06,+7.607711E+03,+77.11708E-06
+7.582883E+03,+34.80565E-06,+7.582883E+03,+76.39527E-06
+7.557781E+03,+35.71592E-06,+7.557781E+03,+77.16787E-06
+7.532837E+03,+35.02104E-06,+7.532837E+03,+76.33617E-06
+7.507799E+03,+34.84932E-06,+7.507799E+03,+76.02714E-06
+7.482900E+03,+35.76027E-06,+7.482900E+03,+76.80152E-06
+7.458059E+03,+36.44883E-06,+7.458059E+03,+77.35383E-06
+7.433003E+03,+35.39744E-06,+7.433003E+03,+76.16502E-06
+7.408003E+03,+35.38377E-06,+7.408003E+03,+76.01424E-06
+7.383031E+03,+35.02727E-06,+7.383031E+03,+75.52078E-06
+7.358117E+03,+36.12289E-06,+7.358117E+03,+76.47974E-06
+7.333059E+03,+35.59263E-06,+7.333059E+03,+75.81204E-06
+7.307825E+03,+34.86400E-06,+7.307825E+03,+74.94502E-06
+7.283142E+03,+35.91229E-06,+7.283142E+03,+75.85793E-06
+7.258003E+03,+35.04213E-06,+7.258003E+03,+74.84989E-06
+7.233096E+03,+36.54478E-06,+7.233096E+03,+76.21595E-06
+7.207911E+03,+37.03409E-06,+7.207911E+03,+76.56711E-06
+7.182777E+03,+36.16829E-06,+7.182777E+03,+75.56347E-06
+7.158022E+03,+36.81929E-06,+7.158022E+03,+76.07869E-06
+7.132846E+03,+36.40397E-06,+7.132846E+03,+75.52528E-06
+7.107744E+03,+37.14579E-06,+7.107744E+03,+76.12944E-06
+7.082673E+03,+36.87417E-06,+7.082673E+03,+75.72031E-06
+7.057753E+03,+36.37693E-06,+7.057753E+03,+75.08639E-06
+7.032642E+03,+35.72453E-06,+7.032642E+03,+74.29627E-06
+7.007540E+03,+37.95119E-06,+7.007540E+03,+76.38524E-06
+6.982834E+03,+37.45746E-06,+6.982834E+03,+75.75601E-06
+6.957874E+03,+37.84513E-06,+6.957874E+03,+76.00678E-06
+6.932948E+03,+37.97555E-06,+6.932948E+03,+76.00049E-06
+6.907855E+03,+38.16093E-06,+6.907855E+03,+76.04825E-06
+6.882749E+03,+37.69809E-06,+6.882749E+03,+75.44772E-06
+6.857772E+03,+38.06408E-06,+6.857772E+03,+75.67671E-06
+6.832712E+03,+38.18837E-06,+6.832712E+03,+75.66355E-06
+6.807645E+03,+37.19623E-06,+6.807645E+03,+74.53393E-06
+6.782929E+03,+38.49931E-06,+6.782929E+03,+75.70145E-06
+6.757874E+03,+38.22867E-06,+6.757874E+03,+75.29338E-06
+6.732698E+03,+38.59230E-06,+6.732698E+03,+75.51893E-06
+6.707309E+03,+40.02485E-06,+6.707309E+03,+76.81223E-06
+6.682420E+03,+37.67549E-06,+6.682420E+03,+74.32637E-06
+6.657834E+03,+39.53270E-06,+6.657834E+03,+76.04874E-06
+6.632688E+03,+40.01088E-06,+6.632688E+03,+76.38900E-06
+6.607679E+03,+37.79284E-06,+6.607679E+03,+74.03379E-06
+6.582420E+03,+39.65378E-06,+6.582420E+03,+75.75619E-06
+6.557513E+03,+40.15467E-06,+6.557513E+03,+76.12048E-06
+6.532383E+03,+40.07089E-06,+6.532383E+03,+75.89887E-06
+6.507550E+03,+40.34124E-06,+6.507550E+03,+76.03301E-06
+6.482420E+03,+39.96929E-06,+6.482420E+03,+75.52324E-06
+6.457551E+03,+39.94346E-06,+6.457551E+03,+75.36101E-06
+6.432605E+03,+41.22181E-06,+6.432605E+03,+76.50253E-06
+6.407409E+03,+40.20317E-06,+6.407409E+03,+75.34570E-06
+6.382328E+03,+40.01207E-06,+6.382328E+03,+75.01704E-06
+6.357428E+03,+40.61937E-06,+6.357428E+03,+75.48778E-06
+6.332355E+03,+40.96631E-06,+6.332355E+03,+75.69720E-06
+6.307457E+03,+41.86797E-06,+6.307457E+03,+76.46230E-06
+6.282457E+03,+40.69893E-06,+6.282457E+03,+75.15615E-06
+6.257577E+03,+41.46422E-06,+6.257577E+03,+75.78498E-06
+6.232698E+03,+42.27676E-06,+6.232698E+03,+76.46106E-06
+6.207651E+03,+41.05039E-06,+6.207651E+03,+75.09732E-06
+6.182605E+03,+41.98502E-06,+6.182605E+03,+75.89458E-06
+6.157605E+03,+42.56701E-06,+6.157605E+03,+76.33945E-06
+6.132697E+03,+42.35519E-06,+6.132697E+03,+75.99102E-06
+6.107420E+03,+43.29309E-06,+6.107420E+03,+76.79028E-06
+6.082522E+03,+41.39910E-06,+6.082522E+03,+74.75974E-06
+6.057651E+03,+42.62137E-06,+6.057651E+03,+75.84560E-06
+6.032466E+03,+42.50997E-06,+6.032466E+03,+75.59606E-06
+6.007550E+03,+42.71258E-06,+6.007550E+03,+75.66201E-06
+5.982522E+03,+43.21228E-06,+5.982522E+03,+76.02444E-06
+5.957383E+03,+43.43836E-06,+5.957383E+03,+76.11266E-06
+5.932235E+03,+42.94757E-06,+5.932235E+03,+75.48393E-06
+5.907362E+03,+44.14632E-06,+5.907362E+03,+76.54626E-06
+5.882448E+03,+42.82102E-06,+5.882448E+03,+75.08432E-06
+5.857355E+03,+43.21852E-06,+5.857355E+03,+75.34419E-06
+5.832383E+03,+44.46093E-06,+5.832383E+03,+76.44964E-06
+5.807334E+03,+44.61277E-06,+5.807334E+03,+76.46409E-06
+5.782494E+03,+44.64720E-06,+5.782494E+03,+76.36228E-06
+5.757253E+03,+43.45708E-06,+5.757253E+03,+75.03372E-06
+5.732258E+03,+44.41208E-06,+5.732258E+03,+75.85164E-06
+5.707642E+03,+46.10946E-06,+5.707642E+03,+77.41400E-06
+5.682299E+03,+45.14868E-06,+5.682299E+03,+76.31423E-06
+5.657626E+03,+45.01262E-06,+5.657626E+03,+76.04284E-06
+5.632207E+03,+45.83436E-06,+5.632207E+03,+76.72516E-06
+5.607145E+03,+45.27021E-06,+5.607145E+03,+76.02356E-06
+5.582207E+03,+44.08601E-06,+5.582207E+03,+74.70258E-06
+5.557115E+03,+44.35695E-06,+5.557115E+03,+74.83590E-06
+5.532411E+03,+44.62284E-06,+5.532411E+03,+74.96629E-06
+5.507401E+03,+46.49834E-06,+5.507401E+03,+76.70463E-06
+5.482392E+03,+45.39140E-06,+5.482392E+03,+75.46053E-06
+5.457013E+03,+45.62283E-06,+5.457013E+03,+75.55275E-06
+5.432161E+03,+45.41636E-06,+5.432161E+03,+75.20997E-06
+5.407336E+03,+45.74434E-06,+5.407336E+03,+75.40180E-06
+5.382207E+03,+46.38664E-06,+5.382207E+03,+75.90628E-06
+5.357198E+03,+46.87416E-06,+5.357198E+03,+76.25663E-06
+5.332287E+03,+45.10918E-06,+5.332287E+03,+74.35502E-06
+5.306985E+03,+46.73096E-06,+5.306985E+03,+75.83803E-06
+5.281818E+03,+45.85218E-06,+5.281818E+03,+74.82122E-06
+5.257136E+03,+47.03672E-06,+5.257136E+03,+75.87038E-06
+5.232235E+03,+46.76008E-06,+5.232235E+03,+75.45717E-06
+5.207151E+03,+46.31385E-06,+5.207151E+03,+74.87337E-06
+5.182318E+03,+47.64658E-06,+5.182318E+03,+76.06990E-06
+5.157050E+03,+47.27611E-06,+5.157050E+03,+75.56084E-06
+5.132041E+03,+46.59549E-06,+5.132041E+03,+74.74305E-06
+5.107198E+03,+47.81473E-06,+5.107198E+03,+75.82603E-06
+5.082031E+03,+47.20363E-06,+5.082031E+03,+75.07690E-06
+5.057050E+03,+48.05478E-06,+5.057050E+03,+75.79103E-06
+5.031753E+03,+47.29483E-06,+5.031753E+03,+74.89234E-06
+5.007253E+03,+48.04140E-06,+5.007253E+03,+75.50454E-06
+4.982355E+03,+47.96297E-06,+4.982355E+03,+75.28956E-06
+4.957277E+03,+47.05700E-06,+4.957277E+03,+74.24604E-06
+4.932327E+03,+46.79751E-06,+4.932327E+03,+73.84970E-06
+4.907579E+03,+48.45634E-06,+4.907579E+03,+75.37279E-06
+4.882577E+03,+48.47753E-06,+4.882577E+03,+75.25686E-06
+4.857299E+03,+48.28502E-06,+4.857299E+03,+74.92571E-06
+4.832088E+03,+47.30611E-06,+4.832088E+03,+73.80853E-06
+4.807262E+03,+48.56428E-06,+4.807262E+03,+74.93053E-06
+4.782050E+03,+49.53664E-06,+4.782050E+03,+75.76461E-06
+4.757253E+03,+49.02832E-06,+4.757253E+03,+75.12030E-06
+4.732271E+03,+49.63676E-06,+4.732271E+03,+75.59171E-06
+4.707300E+03,+49.63408E-06,+4.707300E+03,+75.45208E-06
+4.682057E+03,+47.79499E-06,+4.682057E+03,+73.47453E-06
+4.656862E+03,+48.61041E-06,+4.656862E+03,+74.15177E-06
+4.632049E+03,+49.05209E-06,+4.632049E+03,+74.45736E-06
+4.607096E+03,+49.52653E-06,+4.607096E+03,+74.79495E-06
+4.582126E+03,+49.37622E-06,+4.582126E+03,+74.50768E-06
+4.557040E+03,+49.32363E-06,+4.557040E+03,+74.31750E-06
+4.531910E+03,+50.50454E-06,+4.531910E+03,+75.36058E-06
+4.506892E+03,+50.46206E-06,+4.506892E+03,+75.18088E-06
+4.481881E+03,+48.94216E-06,+4.481881E+03,+73.52381E-06
+4.457049E+03,+50.76122E-06,+4.457049E+03,+75.20668E-06
+4.432235E+03,+51.34619E-06,+4.432235E+03,+75.65554E-06
+4.407132E+03,+52.45818E-06,+4.407132E+03,+76.62985E-06
+4.382068E+03,+49.33046E-06,+4.382068E+03,+73.36467E-06
+4.356799E+03,+50.26925E-06,+4.356799E+03,+74.16486E-06
