Keff: 0.04609028295799987	Ms:1.3507180987821379
H(kOe) moment(emu) M(MA/m) M_norm()
9.972355 6.987861e-05 1.1725028479886266 1.0000853373993213
9.948957 7.040836e-05 1.1813915964013664 1.0076669880287097
9.92543 6.893849e-05 1.1567284446704855 0.9866305730959692
9.901909999999999 6.959061e-05 1.167670456213508 0.9959635528193046
9.878022000000001 6.92322e-05 1.1616566453242014 0.9908340777799858
9.853929 7.002366e-05 1.1749366619711992 1.0021612570289442
9.82992 7.023515e-05 1.178485281889671 1.005188049462374
9.805354999999999 6.987194e-05 1.1723909311374456 0.999989878013388
9.781089 6.984351e-05 1.171913900241034 0.9995829949036317
9.756772000000002 7.001879e-05 1.1748549475686128 1.0020915587966361
9.732188 6.930137e-05 1.1628172583071352 0.9918240216667905
9.707254 6.932652e-05 1.1632392536305527 0.9921839622299412
9.682409999999999 7.004993e-05 1.1753774499292977 1.0025372267543506
9.657568 6.997956e-05 1.174196701980634 1.0015301087651292
9.6328 6.970174e-05 1.1695351218314556 0.9975540178206144
9.608155 6.990889e-05 1.1730109202905383 1.0005186972503035
9.583652 7.022439e-05 1.1783047383636283 1.0050340550107038
9.558643 6.99982e-05 1.1745094651149681 1.001796879822669
9.53354 6.972003e-05 1.1698420122674518 0.9978157797649495
9.508531000000001 6.96924e-05 1.1693784046815263 0.9974203460568041
9.48391 7.03333e-05 1.180132154294976 1.0065927479225427
9.45892 7.025434e-05 1.1788072735499646 1.0054626919835217
9.433836999999999 6.975824e-05 1.1704831431345601 0.9983626318094022
9.4088 6.976515e-05 1.170599086978887 0.9984615260158187
9.383698 6.979722e-05 1.1711371939380122 0.9989205039029061
9.358837 7.01957e-05 1.177823344891308 1.0046234508454235
9.3338 7.039071e-05 1.1810954446137591 1.0074143856056634
9.30892 6.939821e-05 1.1644421500415187 0.993209971731821
9.283614 6.9627e-05 1.16828104904926 0.996484357475092
9.25892 7.0173e-05 1.1774424584562555 1.004298574074707
9.233977000000001 6.929682e-05 1.1627409132287436 0.9917589031951269
9.208901 6.966762e-05 1.1689626176392087 0.9970657008418985
9.183661 6.957482e-05 1.1674055136227817 0.9957375702550042
9.158818 6.990178e-05 1.1728916206185898 1.0004169406934842
9.133614999999999 6.973504e-05 1.1700938671304535 0.9980305991626788
9.108901 7.025769e-05 1.1788634836626264 1.0055106363527682
9.083807 7.022156e-05 1.1782572534027824 1.0049935527525042
9.058735 6.983322e-05 1.171741242909902 0.9994357269754081
9.03367 7.027914e-05 1.1792233961750442 1.0058176234334675
9.008595999999999 6.94383e-05 1.1651148256882706 0.9937837298700603
