Keff: -0.000860981561667379	Ms:1.372035154826958
H(kOe) moment(emu) M(MA/m) M_norm()
9.97251 7.560189e-05 1.0901758149207799 1.0036795352601995
9.949261 7.486618e-05 1.0795669101857874 0.9939123578670644
9.925827 7.534581e-05 1.0864831529690095 1.0002798549692777
9.902114 7.549288e-05 1.0886038956792832 1.0022323345865296
9.877854 7.710648e-05 1.111871934281971 1.0236542500716563
9.85394 7.532928e-05 1.0862447911209048 1.0000604051285682
9.829698 7.473048e-05 1.0776101223583305 0.9921108246919704
9.805234 7.593387e-05 1.0949629514201107 1.00808685275075
9.780732 7.388435e-05 1.0654089662459776 0.9808777276732357
9.756431000000001 7.458041e-05 1.0754461197845169 0.990118517517421
9.731892 7.56689e-05 1.0911420960727174 1.0045691501317033
9.707214 7.629277e-05 1.10013827309494 1.0128515561887843
9.682456 7.579763e-05 1.0929983768172165 1.0062781506153424
9.657587 7.398131e-05 1.066807125035589 0.9821649543250937
9.632587 7.354929e-05 1.0605774162867458 0.9764295205571929
9.607818 7.651214e-05 1.1033015785165265 1.015763879936908
9.583138000000002 7.488816e-05 1.0798838607859902 0.9942041611035314
9.558271000000001 7.533031e-05 1.0862596436740533 1.0000740792565737
9.533496 7.595529e-05 1.095271826845786 1.0083712215098548
9.508624 7.429871e-05 1.0713840185981156 0.9863787098871778
9.483619000000001 7.641486e-05 1.1018988053414709 1.0144724050122715
9.458726 7.564884e-05 1.0908528317851798 1.0043028365319064
9.433791 7.419251e-05 1.0698526194288016 0.9849688143588435
9.408605 7.48712e-05 1.0796392983574443 0.9939790026462756
9.383466 7.758747e-05 1.1188077882033314 1.030039802333178
9.358513 7.610209e-05 1.097388676168341 1.01032011664695
9.333544 7.544088e-05 1.0878540580445908 1.0015419902600382
9.308771 7.725486e-05 1.114011567132657 1.0256241210555948
9.283947 7.432293e-05 1.0717332698964281 0.9867002510330937
9.258595999999999 7.381848e-05 1.0644591238421854 0.980003247273505
9.233808000000002 7.384302e-05 1.0648129895259424 0.9803290366921993
